"filename", "language", "JavaScript", "XML", "HTML", "PHP", "CSS", "JSON", "C#", "Java", "Zip", "C++", "Ini", "log", "SCSS", "Properties", "JSON with Comments", "MS SQL", "Markdown", "EditorConfig", "Python", "TypeScript", "comment", "blank", "total"
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U19_try_Catch\12-01-ManejoExcepciones-UJS.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U19_try_Catch\12-02-ClausulaThrow-UJS.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 17
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U20_funcionesConFlechas_ArrowFunction\13-01-FuncionesFlecha-UJS.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U20_funcionesConFlechas_ArrowFunction\13-02-FuncionesFlecha-parte2.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 41
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U21_funciones_callback\14-01-FuncionesCallback-UJS.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 23
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U21_funciones_callback\14-02-SetTimeout-UJS.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 34
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U21_funciones_callback\14-03-SetInterval-UJS.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U22_funciones_promesas_Async_Await\15-01-Promesas-UJS.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U22_funciones_promesas_Async_Await\15-02-SetTimeoutPromesas-UJS.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 18
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U22_funciones_promesas_Async_Await\15-03-AsyncPromesas-UJS.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 25
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion\01JS_Curso0aExperto_udemy\JS\Unidades\U22_funciones_promesas_Async_Await\15-04-AwaitPromesas-UJS.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 37
