"filename", "language", "PHP", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\CRUD_usandoMySQL\index.php", "PHP", 168, 0, 0, 0, 9, 25, 202
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio10y11.php", "PHP", 56, 0, 0, 0, 6, 1, 63
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio12y13Swich.php", "PHP", 83, 0, 0, 0, 5, 1, 89
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio14.php", "PHP", 82, 0, 0, 0, 4, 1, 87
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio15.php", "PHP", 55, 0, 0, 0, 4, 1, 60
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio16AnioBisiesto.php", "PHP", 63, 0, 0, 0, 7, 3, 73
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio17.php", "PHP", 99, 0, 0, 0, 10, 3, 112
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio18y19.php", "PHP", 49, 0, 0, 0, 6, 3, 58
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio1If.php", "PHP", 39, 0, 0, 0, 4, 2, 45
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio2if.php", "PHP", 43, 0, 0, 0, 4, 2, 49
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio3ifElse.php", "PHP", 47, 0, 0, 0, 6, 2, 55
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio4.php", "PHP", 39, 0, 0, 0, 4, 0, 43
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio5F.php", "PHP", 47, 0, 0, 0, 5, 1, 53
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio6.php", "PHP", 54, 0, 0, 0, 8, 2, 64
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio7Ss.php", "PHP", 64, 0, 0, 0, 5, 0, 69
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio8Ss_vGlobal_trim().php", "PHP", 66, 0, 0, 0, 8, 1, 75
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales(1-22)\Ejercicio9.php", "PHP", 68, 0, 0, 0, 6, 4, 78
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales\Ejercicio1ClaveRequeridaMStrcmp().php", "PHP", 31, 0, 0, 0, 24, 6, 61
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales\Ejercicio2ConstUsuarioPasswordScan.php", "PHP", 40, 0, 0, 0, 15, 8, 63
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales\Ejercicio3ParesImpares.php", "PHP", 36, 0, 0, 0, 6, 8, 50
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales\Ejercicio4IfElse.php", "PHP", 42, 0, 0, 0, 9, 1, 52
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Condicionales\Ejercicio5Swich.php", "PHP", 60, 0, 0, 0, 12, 2, 74
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\AdivinarPalabraSesion_vGlobales.php", "PHP", 67, 0, 0, 0, 7, 1, 75
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\AplicacionMultiplicar.php", "PHP", 65, 0, 0, 0, 4, 6, 75
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\MaquetaEjercicios.html", "HTML", 0, 25, 0, 0, 0, 2, 27
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\NumeroPrimo.php", "PHP", 43, 0, 0, 0, 7, 1, 51
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\SumaNumerosNaturales.php", "PHP", 42, 0, 0, 0, 7, 1, 50
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\factorial.php", "PHP", 41, 0, 0, 0, 8, 1, 50
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\factorial1.php", "PHP", 33, 0, 0, 0, 7, 1, 41
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\prueba.php", "PHP", 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\revertirCadena.php", "PHP", 31, 0, 0, 0, 7, 1, 39
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\tablaMultiplicar.php", "PHP", 38, 0, 0, 0, 0, 2, 40
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\EjerciciosLibres\triangulo.php", "PHP", 44, 0, 0, 0, 6, 0, 50
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Ejercicios_PHP\arrays.php", "PHP", 158, 0, 0, 0, 15, 16, 189
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Ejercicios_PHP\arrays2.php", "PHP", 282, 0, 0, 0, 18, 78, 378
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Ejercicios_PHP\arrays3.php", "PHP", 54, 0, 0, 0, 4, 17, 75
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Ejercicios_PHP\ejercicioBucle.php", "PHP", 40, 0, 0, 0, 4, 21, 65
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Ejercicios_PHP\ejercicioBucleCondicionales.php", "PHP", 62, 0, 0, 0, 3, 16, 81
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Ejercicios_PHP\ejercicioCondicionales.php", "PHP", 43, 0, 0, 0, 4, 17, 64
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Ejercicios_PHP\ejercicioCondicionalesV4.php", "PHP", 124, 0, 0, 0, 17, 18, 159
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Ejercicios_PHP\tratamientosDeCadena.php", "PHP", 32, 0, 0, 0, 10, 9, 51
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\La_Toscana_Web_Pizzeria\conexionDB.php", "PHP", 10, 0, 0, 0, 7, 2, 19
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\La_Toscana_Web_Pizzeria\gestionMenu.php", "PHP", 18, 0, 0, 0, 1, 4, 23
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\La_Toscana_Web_Pizzeria\integracionPago.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\La_Toscana_Web_Pizzeria\login.php", "PHP", 33, 0, 0, 0, 10, 10, 53
